ID_REF,GSM759848,GSM759849,GSM759850,GSM759851,GSM759852
1761821_at,5.591894,9.99198,26.0013,27.04505,11.05029
1761822_s_at,585.5551,509.5113,409.4103,515.0233,242.8235
1761823_s_at,750.211,650.6068,580.0594,759.4484,454.3489
1761824_at,3.419084,5.993665,19.80969,4.521893,12.62979
1761825_at,3.029052,0.2024584,1.23501,12.02811,2.279277
1761826_s_at,20.14098,13.15425,14.56444,8.165478,29.29498
1761827_s_at,0.8551282,6.586682,16.65255,3.606323,8.972336
1761828_s_at,0.2468745,0.837474,0.3561374,0.2920117,0.399314
1761829_at,0.3916092,1.270015,0.6344446,5.210481,1.180834
1761830_at,0.2019772,0.2298061,7.592386,0.3399139,0.4144604
1761831_s_at,329.2711,394.2194,141.9944,327.9913,271.4077
1761832_s_at,433.3716,437.6899,390.1462,518.6827,445.6058
1761833_at,0.3493097,0.2551645,0.4708001,0.3128774,2.454401
1761834_s_at,684.352,660.7836,441.5092,595.2907,332.6541
1761835_s_at,749.0995,810.1409,438.159,721.9745,275.2844
1761836_s_at,1.677408,2.084471,12.29914,12.75293,1.15571
1761837_s_at,52.66947,61.88077,13.63289,30.28,57.58847
1761838_s_at,871.2163,679.4111,474.6554,896.111,406.7798
1761839_s_at,813.6916,860.2591,448.2794,738.6685,465.1423
1761840_s_at,5.279895,0.2978631,0.639213,5.293454,2.620853
1761841_s_at,12.46301,17.44173,10.05849,10.93267,24.996
1761842_at,7.218554,1.700507,1.854129,11.45973,9.053473
1761843_s_at,0.2071731,0.1671031,0.8464343,0.2316916,0.4088983
1761844_s_at,2125.192,2534.825,4939.689,2224.657,6068.476
1761845_s_at,1776.54,1788.457,3036.43,1818.452,2763.954
1761846_s_at,992.6993,762.7989,505.2275,1093.797,338.1688
1761847_s_at,775.1301,733.4552,426.044,794.044,1437.398
1761848_at,0.4558036,0.2975516,0.3997245,0.6727914,2.164866
1761849_at,2.412425,7.797969,10.39087,12.31803,22.92104
1761850_s_at,1.008187,14.8002,11.57098,1.570749,0.8898104
1761851_s_at,605.6512,599.8259,357.3069,669.8405,274.2667
1761852_s_at,2762.176,3026.886,5152.043,3131.29,4184.564
1761853_s_at,830.4374,865.9892,516.9401,819.4987,475.4838
1761854_s_at,1.075884,1.516115,3.072069,3.561616,2.428621
1761855_s_at,108.3801,179.3037,83.58419,49.1676,52.60318
1761856_s_at,5399.23,6332.28,18465.17,7986.179,16552.78
1761857_s_at,7.052446,1.606963,14.70313,1.871219,5.120079
1761858_at,14.12299,13.73077,5.192225,20.06311,24.1591
1761859_s_at,781.3012,651.3314,735.5461,890.6972,401.1977
1761860_s_at,400.7546,453.7903,187.7929,324.0297,200.6735
1761861_s_at,0.9735045,1.286801,1.826438,0.8008458,1.83434
1761862_s_at,534.7889,499.5271,2914.424,846.3455,1176.436
1761863_s_at,692.9139,608.3674,473.0886,898.8145,227.1747
1761864_s_at,21.38395,11.08109,0.785373,4.306754,17.75509
1761865_s_at,1236.844,1225.306,1899.099,1368.953,1129.141
1761866_s_at,1219.507,1324.55,1398.822,860.6656,1029.844
1761867_s_at,943.4006,990.7827,715.6042,977.8693,474.586
1761868_s_at,718.2502,603.447,396.3724,759.4725,404.0276
1761869_s_at,1398.006,1279.209,1569.025,1108.255,2342.037
1761870_s_at,927.6677,808.8353,459.5941,748.1923,318.0014
1761871_at,3.322067,1.630798,2.054428,3.824831,1.741779
1761872_s_at,3441.284,3410.874,9388.018,3852.282,10290.95
1761873_s_at,597.8524,643.4291,522.6563,709.0948,297.0755
1761874_at,0.6282026,4.449827,28.37602,0.6799656,2.337107
1761875_s_at,1282.226,1280.833,1832.64,1343.249,1525.32
1761876_at,40.71967,29.81544,22.68592,22.82681,49.68253
1761877_at,0.8823832,5.159594,0.6699784,1.95717,2.6805
1761878_at,0.4306989,5.304223,8.899392,4.439893,1.862276
1761879_s_at,746.0859,668.275,431.3432,795.2984,194.1372
1761880_s_at,1043.387,996.6434,697.6713,1078.724,922.1714
1761881_s_at,0.8293269,0.7297027,9.459842,3.974692,1.805704
1761882_x_at,0.87766,0.9799032,6.732571,0.5536035,5.495205
1761883_s_at,708.6895,551.3453,307.4554,572.8007,133.111
1761884_s_at,0.4767002,0.01978595,0.33441,0.1207485,0.1198898
1761885_at,16.881,3.484029,3.290308,3.013726,20.52369
1761886_s_at,887.1111,663.8597,444.424,803.777,365.6122
1761887_at,4.143874,4.346279,8.083218,9.354339,9.364032
1761888_s_at,29.40096,26.27693,22.01583,29.08901,15.66505
