ID	Gene Symbol
1759522_s_at	c3214
1759523_at	yjjU
1759524_s_at	ECs4331 /// Z4856
1759526_at	pdxB
1759527_s_at	ECs4425 /// eptB /// yhjW
1759528_s_at	c0317 /// c4556 /// c5192 /// ECs5414 /// Z1188 /// Z1627
1759529_s_at	c3012 /// ECs3357 /// yfgD /// Z3758
1759530_at	c0392
1759531_s_at	c0228 /// ECs5365 /// yaeP
1759533_at	yfeW
1759535_at	papA
1759536_at	c2409
1759537_s_at	ECs3523 /// gabT
1759538_s_at	nhaB /// nhaB
1759539_at	Z0899
1759540_s_at	c3612 /// c4552 /// insC /// yaiX
1759541_s_at	ECs0614 /// pheP
1759542_s_at	pflA /// pflA
1759543_s_at	ECs1283 /// Z1543
1759544_s_at	Z4034
1759545_at	c3689
1759546_s_at	ECs2316 /// tus /// tus
1759547_at	c1819
1759548_s_at	cyaA
1759549_s_at	ECs0736 /// ybgJ /// ybgJ /// ybgJ
1759550_at	copA
1759551_s_at	ECs3475 /// yfjD /// yfjD
1759552_s_at	maf /// yhdE
1759553_s_at	ECs1549 /// ECs1800 /// Z1370
1759554_s_at	ECs2211 /// Z2088
1759555_at	glf
1759556_at	c2473
1759557_at	yeiC
1759558_s_at	ECs2028 /// ydcJ /// ydcJ /// Z2297
1759559_s_at	ECs4026 /// yraK /// Z4504
1759560_at	mtlD
1759561_s_at	ECs1589 /// Z1846
1759562_s_at	dcp /// ECs2147
1759563_s_at	ECs4782 /// rdoA /// yihE
1759564_s_at	ECs0217 /// Z0249
1759565_s_at	aaeR /// ECs4116 /// qseA /// yhcS
1759566_s_at	c3578 /// ECs0329 /// ECs1103 /// ECs1308 /// ECs1659 /// ECs1819 /// ECs2223 /// ECs2790 /// ECs3493 /// ECs3865 /// ECs4546 /// Z0366 /// Z1132 /// Z1571 /// Z1928 /// Z2072 /// Z2081 /// Z2127 /// Z3155 /// Z4336 /// Z5097 /// Z6015
1759567_at	c3188
1759568_s_at	c0324
1759569_s_at	ECs3685 /// lgt /// lgt
1759571_s_at	ECs1676 /// ycgN /// ycgN
1759572_s_at	ECs3234 /// Z3616
1759573_s_at	ECs0170 /// map
1759574_s_at	ECs0698 /// ybeZ /// ybeZ /// ybeZ
1759575_at	c4560
1759576_s_at	c0961
1759578_s_at	mutL
1759579_s_at	glnQ /// glnQ
1759580_at	yheJ
1759581_at	yeiM
1759582_at	nhaA
1759583_s_at	ECs4564 /// Z5115
1759585_s_at	c1578 /// c3165 /// ECs1638 /// Z1891
1759586_at	c4605
1759587_s_at	ECs3614 /// Z4069
1759588_s_at	ECs4313 /// ftsY /// ftsY
1759590_s_at	relA
1759591_s_at	yliL /// Z1038
1759593_s_at	ECs3247 /// emrK /// emrK
1759594_at	pdxA
1759595_at	c4752
1759596_s_at	c2169
1759597_s_at	ECs4000 /// yhaB /// yhaB
1759598_s_at	ECs0911 /// gsiD /// yliD /// Z1056
1759599_s_at	potA /// potA
1759600_s_at	c0705
1759601_s_at	cyoE /// ECs0482
1759602_at	ECs5518
1759603_at	yfjR
1759604_at	yafY
1759606_s_at	ECs4779 /// mobB
1759607_at	c1577
1759608_s_at	ECs0520 /// priC
1759609_s_at	frsA /// frsA
1759610_s_at	ECs1696 /// Z1963
1759611_s_at	aroD
1759614_at	tdcC
1759615_s_at	murF /// murF
1759617_at	ECs1188
1759618_s_at	ECs1872 /// ymjA /// ymjA
1759620_s_at	ycbS /// Z1288m
1759621_s_at	c2623 /// Z3260
1759624_s_at	ECs0617 /// ybdF /// ybdF
1759625_s_at	c0009 /// yaaX
1759627_s_at	c5269 /// ECs5160 /// yjfL /// yjfL
1759628_s_at	ECs4758 /// metR /// metR /// metR
1759630_s_at	c0693
1759631_at	ECs2991
1759632_s_at	codB /// codB
1759633_at	yehQ
1759634_s_at	sufA /// sufA
1759636_at	c5302
1759637_at	priA
1759638_s_at	c3192 /// yfdO
1759640_s_at	ECs3475 /// yfjD /// yfjD
1759641_s_at	idnK /// idnK
1759642_s_at	ECs4333 /// Z4858
1759643_s_at	ECs3594 /// Z4048
1759644_at	phnK
1759645_s_at	ECs2650 /// pgsA
1759646_at	Z3117
1759647_s_at	c3173 /// ECs1630 /// ECs2179 /// Z1883
1759648_s_at	atpA /// atpA /// ECs4676
1759649_at	c1882
1759650_s_at	ECs2493 /// yeaH /// yeaH
1759651_s_at	yhhZ /// yhhZ
1759652_at	celA
1759653_s_at	ECs5159 /// yjfK /// yjfK
1759654_s_at	gatY
1759656_s_at	rfaH /// rfaH
1759657_s_at	c1585 /// c3160 /// ECs1643
1759659_at	c0174
1759660_s_at	ECs5225 /// yjgH /// yjgH
1759661_at	yjjV
1759663_at	ECs4997
1759664_s_at	ECs1475 /// yceG /// yceG
1759665_at	yhjN
1759666_s_at	cyaY /// cyaY
1759668_at	ECs4993
1759669_s_at	nikD /// nikD
1759670_s_at	ECs3412 /// yphD
1759671_at	c1225
1759672_at	mobB
1759674_s_at	c3611 /// ECs1564 /// insD /// insD /// yaiX /// Z1825
1759675_s_at	ECs0101 /// secM /// yacA
1759676_at	c3677
1759677_at	cdh
1759678_s_at	ECs5043 /// yjcC /// yjcC
1759682_at	ybcL
1759683_s_at	ECs4145 /// yrdA /// yrdA /// Z4650
1759684_at	c1414
1759685_s_at	araF /// araF /// araF /// ECs2609
1759686_s_at	ECs2838 /// fcI
1759687_at	xapB
1759690_s_at	ECs4540 /// Z5092
1759691_s_at	ECs0811 /// ECs2978
1759692_at	kpsE
1759693_s_at	ECs0257 /// fhiA
1759694_s_at	rplJ /// rplJ
1759695_at	thiS
1759696_at	lolC
1759697_s_at	ECs2056 /// yncE /// yncE /// Z2267
1759698_s_at	ECs1591 /// Z1848
1759699_s_at	ECs3549 /// luxS /// ygaG
1759700_s_at	ECs0243 /// ydcD
1759701_s_at	ECs1033 /// uup /// uup
1759702_at	ECs5247
1759703_at	Z3179
1759704_s_at	ECs3396 /// iscS /// yfhO
1759706_s_at	baeR /// baeR /// ECs2887
1759707_at	menE
1759708_at	c4206
1759709_s_at	ECs2855 /// wcaI /// wcaI
1759710_at	ybeR
1759711_at	ECs4948
1759712_at	ECs4876 /// yijI
1759715_s_at	ECs1054 /// yccA /// yccA
1759716_at	c3794
1759717_at	exuT
1759719_s_at	c0799
1759720_at	argE
1759721_s_at	ECs2530 /// yobD /// yobD /// Z2863
1759722_s_at	yfaA /// yfaA
1759723_at	bioD
1759724_s_at	ECs2060 /// vgrE
1759725_at	ycgF
1759726_s_at	ECs3998 /// tdcA /// tdcA
1759727_at	c3754
1759728_at	yfgJ
1759729_s_at	nadD /// nadD
1759730_at	c0311
1759732_s_at	ddg /// ECs3258 /// lpxP
1759733_at	ygjO
1759734_s_at	ECs2763 /// Z3124
1759735_at	c5374
1759736_s_at	dtd /// ECs4810 /// yihZ
1759739_at	c0950
1759740_s_at	ECs0538 /// ybaS /// ybaS
1759741_at	paaG
1759742_at	Z4851
1759743_s_at	papI /// papI_2
1759744_s_at	ECs0867 /// ybhO
1759745_at	c4437
1759746_s_at	ECs4618 /// yidI /// yidI
1759747_s_at	ECs0418 /// Z0463
1759748_s_at	ECs0772 /// tolQ /// tolQ
1759749_s_at	ECs0982 /// ycaC /// ycaC
1759751_at	Z1444
1759752_s_at	gnd /// gnd
